session_id,rep_id,leg,duration_s,lift_duration_s,lower_duration_s,hold_duration_s,peak_tof_mm,tof_out_of_range,shin_lift_angle_deg,peak_angular_velocity,jerk_score,tof_symmetry,flagged,flag_hold,flag_angle,flag_jerk
session_20260314_131518,1,left,4.203,2.0,2.2,0.1,8191.0,True,43.51,82.768,0.3386,0.0,False,False,False,False
session_20260314_131518,2,right,4.403,0.0,4.4,0.1,8191.0,True,41.09,57.768,0.2,0.0,False,False,False,False
session_20260314_131518,3,left,3.302,3.0,0.3,0.1,280.0,False,83.69,135.108,0.3582,0.871,False,False,False,False
session_20260314_131518,4,left,4.403,4.0,0.4,0.3,620.0,False,91.01,101.775,0.3798,0.944,False,False,False,False
session_20260314_131518,5,left,3.303,3.2,0.1,0.1,8190.0,True,86.18,136.998,0.5437,0.996,True,False,False,True
session_20260314_131518,6,left,3.803,3.7,0.1,0.0,8190.0,True,87.16,119.48,0.3218,0.996,True,True,False,False
session_20260314_131518,7,left,3.802,3.6,0.2,0.1,761.0,False,90.32,113.552,0.4613,0.959,True,False,False,True
session_20260314_131518,8,right,7.405,6.1,1.3,0.1,8190.0,True,136.99,115.757,0.358,0.997,False,False,False,False
session_20260314_131518,9,right,4.403,3.7,0.7,0.7,308.0,False,111.57,106.35,0.2662,0.906,False,False,False,False
session_20260314_131518,10,right,3.903,3.0,0.9,0.4,295.0,False,105.03,155.615,0.2551,0.908,False,False,False,False
session_20260314_131518,11,right,4.303,4.1,0.2,0.8,286.0,False,103.77,185.284,0.2976,0.899,False,False,False,False
session_20260314_131518,12,right,3.702,3.1,0.6,0.4,269.0,False,93.19,104.699,0.3593,0.896,False,False,False,False
session_20260314_131518,13,left,3.302,3.0,0.3,0.0,176.0,False,89.53,116.66,0.4864,0.807,True,True,False,True
session_20260314_131518,14,right,3.702,2.8,0.9,0.3,161.0,False,123.84,117.073,0.347,0.832,False,False,False,False
session_20260314_131518,15,left,3.602,3.3,0.3,0.0,206.0,False,80.27,100.416,0.5126,0.879,True,True,False,True
session_20260314_131518,16,right,4.203,4.0,0.2,0.5,176.0,False,129.15,98.472,0.2561,0.83,False,False,False,False
session_20260314_131518,17,left,3.202,3.0,0.2,0.0,213.0,False,82.13,100.868,0.4322,0.873,True,True,False,True
